Hiber-loss	LSTM-Loss	
 0.0000e+00	 6.9584e-01	
 0.0000e+00	 7.0324e-01	
 0.0000e+00	 7.1032e-01	
 0.0000e+00	 7.1704e-01	
 0.0000e+00	 7.2368e-01	
 0.0000e+00	 7.3000e-01	
 0.0000e+00	 7.3626e-01	
 0.0000e+00	 7.4218e-01	
 0.0000e+00	 7.4806e-01	
 0.0000e+00	 7.5419e-01	
 0.0000e+00	 7.6017e-01	
 0.0000e+00	 7.6593e-01	
 0.0000e+00	 7.7164e-01	
 0.0000e+00	 7.7726e-01	
 0.0000e+00	 7.8284e-01	
 0.0000e+00	 7.8816e-01	
 0.0000e+00	 7.9364e-01	
 0.0000e+00	 7.9915e-01	
 0.0000e+00	 8.0476e-01	
 0.0000e+00	 8.1025e-01	
 0.0000e+00	 8.1574e-01	
 0.0000e+00	 8.2121e-01	
 0.0000e+00	 8.2653e-01	
 0.0000e+00	 8.3218e-01	
 0.0000e+00	 8.3769e-01	
 0.0000e+00	 8.4342e-01	
 0.0000e+00	 8.4919e-01	
 0.0000e+00	 8.5472e-01	
 0.0000e+00	 8.6038e-01	
 0.0000e+00	 8.6591e-01	
 0.0000e+00	 8.7146e-01	
 0.0000e+00	 8.7718e-01	
 0.0000e+00	 8.8299e-01	
