Hiber-loss	LSTM-Loss	
 2.4469e+00	 6.9988e-01	
 2.4418e+00	 6.9827e-01	
 2.4396e+00	 6.9674e-01	
 2.4376e+00	 6.9514e-01	
 2.4358e+00	 6.9349e-01	
 2.4320e+00	 6.9181e-01	
 2.4303e+00	 6.8970e-01	
 2.4280e+00	 6.8833e-01	
 2.4254e+00	 6.8735e-01	
 2.4199e+00	 6.8549e-01	
 2.4166e+00	 6.8333e-01	
 2.4144e+00	 6.8137e-01	
 2.4118e+00	 6.7954e-01	
 2.4091e+00	 6.7757e-01	
 2.4051e+00	 6.7571e-01	
 2.4025e+00	 6.7396e-01	
 2.3994e+00	 6.7208e-01	
 2.3950e+00	 6.7019e-01	
 2.3895e+00	 6.6786e-01	
 2.3869e+00	 6.6572e-01	
 2.3837e+00	 6.6359e-01	
 2.3799e+00	 6.6153e-01	
 2.3785e+00	 6.5950e-01	
 2.3739e+00	 6.5744e-01	
 2.3689e+00	 6.5524e-01	
 2.3660e+00	 6.5306e-01	
 2.3621e+00	 6.5093e-01	
 2.3596e+00	 6.4855e-01	
 2.3553e+00	 6.4632e-01	
 2.3512e+00	 6.4420e-01	
 2.3464e+00	 6.4181e-01	
 2.3445e+00	 6.3962e-01	
 2.3393e+00	 6.3751e-01	
 2.3329e+00	 6.3517e-01	
 2.3330e+00	 6.3285e-01	
 2.3278e+00	 6.3053e-01	
 2.3227e+00	 6.2811e-01	
 2.3201e+00	 6.2572e-01	
 2.3110e+00	 6.2346e-01	
 2.3100e+00	 6.2093e-01	
 2.3050e+00	 6.1870e-01	
 2.3002e+00	 6.1621e-01	
 2.2958e+00	 6.1366e-01	
 2.2925e+00	 6.1095e-01	
 2.2860e+00	 6.0852e-01	
 2.2824e+00	 6.0601e-01	
 2.2769e+00	 6.0327e-01	
 2.2705e+00	 6.0070e-01	
 2.2686e+00	 5.9807e-01	
 2.2635e+00	 5.9551e-01	
 2.2580e+00	 5.9302e-01	
 2.2505e+00	 5.9052e-01	
 2.2511e+00	 5.8795e-01	
 2.2458e+00	 5.8535e-01	
 2.2376e+00	 5.8293e-01	
 2.2326e+00	 5.8070e-01	
 2.2292e+00	 5.7825e-01	
 2.2282e+00	 5.7582e-01	
 2.2163e+00	 5.7352e-01	
 2.2107e+00	 5.7079e-01	
 2.2133e+00	 5.6805e-01	
 2.2027e+00	 5.6544e-01	
 2.1956e+00	 5.6278e-01	
 2.1954e+00	 5.6022e-01	
 2.1886e+00	 5.5766e-01	
 2.1845e+00	 5.5500e-01	
 2.1757e+00	 5.5246e-01	
 2.1717e+00	 5.4974e-01	
 2.1628e+00	 5.4750e-01	
 2.1547e+00	 5.4497e-01	
 2.1461e+00	 5.4252e-01	
 2.1465e+00	 5.4005e-01	
 2.1345e+00	 5.3759e-01	
 2.1296e+00	 5.3519e-01	
 2.1224e+00	 5.3269e-01	
 2.1211e+00	 5.3041e-01	
 2.1183e+00	 5.2782e-01	
 2.0997e+00	 5.2538e-01	
 2.0929e+00	 5.2294e-01	
 2.0917e+00	 5.2034e-01	
 2.0816e+00	 5.1794e-01	
 2.0733e+00	 5.1565e-01	
 2.0707e+00	 5.1309e-01	
 2.0650e+00	 5.1060e-01	
 2.0636e+00	 5.0837e-01	
 2.0455e+00	 5.0587e-01	
 2.0351e+00	 5.0336e-01	
 2.0229e+00	 5.0107e-01	
 2.0168e+00	 4.9860e-01	
 1.9987e+00	 4.9631e-01	
 1.9965e+00	 4.9397e-01	
 1.9836e+00	 4.9167e-01	
 1.9724e+00	 4.8942e-01	
 1.9697e+00	 4.8725e-01	
 1.9611e+00	 4.8484e-01	
 1.9388e+00	 4.8242e-01	
 1.9217e+00	 4.8016e-01	
 1.9103e+00	 4.7787e-01	
 1.9082e+00	 4.7554e-01	
 1.8834e+00	 4.7321e-01	
 1.8707e+00	 4.7117e-01	
 1.8442e+00	 4.6890e-01	
 1.8341e+00	 4.6672e-01	
 1.8170e+00	 4.6462e-01	
 1.8177e+00	 4.6226e-01	
 1.8043e+00	 4.6031e-01	
 1.7889e+00	 4.5801e-01	
 1.7918e+00	 4.5597e-01	
 1.7805e+00	 4.5370e-01	
 1.7410e+00	 4.5160e-01	
 1.7525e+00	 4.4963e-01	
 1.7462e+00	 4.4748e-01	
 1.7584e+00	 4.4517e-01	
 1.7441e+00	 4.4300e-01	
 1.7534e+00	 4.4101e-01	
 1.7440e+00	 4.3877e-01	
 1.7367e+00	 4.3661e-01	
 1.7634e+00	 4.3452e-01	
 1.7470e+00	 4.3245e-01	
 1.7468e+00	 4.3021e-01	
 1.7336e+00	 4.2813e-01	
 1.7632e+00	 4.2591e-01	
 1.7722e+00	 4.2391e-01	
 1.7324e+00	 4.2175e-01	
 1.7376e+00	 4.1968e-01	
 1.7241e+00	 4.1734e-01	
 1.7232e+00	 4.1543e-01	
 1.7298e+00	 4.1311e-01	
 1.7253e+00	 4.1115e-01	
 1.7381e+00	 4.0920e-01	
 1.7687e+00	 4.0693e-01	
 1.7414e+00	 4.0473e-01	
 1.7413e+00	 4.0292e-01	
 1.7438e+00	 4.0068e-01	
 1.7551e+00	 3.9871e-01	
 1.7530e+00	 3.9636e-01	
 1.7421e+00	 3.9409e-01	
 1.7752e+00	 3.9231e-01	
 1.7290e+00	 3.9038e-01	
 1.7363e+00	 3.8853e-01	
 1.7326e+00	 3.8602e-01	
 1.7461e+00	 3.8425e-01	
 1.7459e+00	 3.8197e-01	
 1.7388e+00	 3.7974e-01	
 1.7684e+00	 3.7798e-01	
 1.7466e+00	 3.7594e-01	
 1.7601e+00	 3.7342e-01	
 1.7099e+00	 3.7147e-01	
 1.7434e+00	 3.6892e-01	
 1.7368e+00	 3.6746e-01	
 1.7312e+00	 3.6624e-01	
 1.7437e+00	 3.6417e-01	
 1.6954e+00	 3.6254e-01	
 1.7316e+00	 3.6033e-01	
 1.7390e+00	 3.5921e-01	
 1.7531e+00	 3.5729e-01	
 1.7191e+00	 3.5537e-01	
 1.7359e+00	 3.5337e-01	
 1.7249e+00	 3.5226e-01	
 1.7291e+00	 3.5014e-01	
 1.7384e+00	 3.4890e-01	
 1.7234e+00	 3.4773e-01	
 1.7235e+00	 3.4594e-01	
 1.7269e+00	 3.4503e-01	
 1.7232e+00	 3.4315e-01	
 1.7480e+00	 3.4160e-01	
 1.7541e+00	 3.4049e-01	
 1.7059e+00	 3.3897e-01	
 1.7269e+00	 3.3837e-01	
 1.7253e+00	 3.3759e-01	
 1.7302e+00	 3.3675e-01	
 1.7253e+00	 3.3534e-01	
 1.7206e+00	 3.3551e-01	
 1.7331e+00	 3.3479e-01	
 1.7198e+00	 3.3495e-01	
 1.7246e+00	 3.3229e-01	
 1.7293e+00	 3.3277e-01	
 1.7396e+00	 3.3237e-01	
 1.7401e+00	 3.3087e-01	
 1.7239e+00	 3.3174e-01	
 1.7358e+00	 3.3055e-01	
 1.7057e+00	 3.3180e-01	
 1.6973e+00	 3.2965e-01	
 1.7115e+00	 3.3077e-01	
 1.7265e+00	 3.2998e-01	
 1.7195e+00	 3.2983e-01	
 1.7130e+00	 3.2910e-01	
 1.7291e+00	 3.2806e-01	
 1.7291e+00	 3.2833e-01	
 1.7052e+00	 3.2897e-01	
 1.6838e+00	 3.2809e-01	
 1.7287e+00	 3.2856e-01	
 1.7225e+00	 3.2849e-01	
 1.7130e+00	 3.2782e-01	
 1.7242e+00	 3.2689e-01	
 1.7319e+00	 3.2718e-01	
 1.7294e+00	 3.2691e-01	
 1.7236e+00	 3.2723e-01	
 1.7210e+00	 3.2707e-01	
 1.6999e+00	 3.2716e-01	
 1.7055e+00	 3.2815e-01	
 1.7112e+00	 3.2883e-01	
 1.7163e+00	 3.2741e-01	
 1.6962e+00	 3.2684e-01	
 1.7096e+00	 3.2775e-01	
 1.6827e+00	 3.2735e-01	
 1.6910e+00	 3.2749e-01	
 1.7079e+00	 3.2540e-01	
 1.7232e+00	 3.2682e-01	
 1.6960e+00	 3.2595e-01	
 1.6787e+00	 3.2538e-01	
 1.7214e+00	 3.2679e-01	
 1.6700e+00	 3.2604e-01	
 1.7113e+00	 3.2433e-01	
 1.6761e+00	 3.2405e-01	
 1.6741e+00	 3.2334e-01	
 1.7081e+00	 3.2548e-01	
 1.6820e+00	 3.2562e-01	
 1.6699e+00	 3.2574e-01	
 1.6538e+00	 3.2492e-01	
 1.6588e+00	 3.2470e-01	
 1.6846e+00	 3.2645e-01	
 1.7154e+00	 3.2770e-01	
 1.6889e+00	 3.2643e-01	
 1.6995e+00	 3.2696e-01	
 1.7272e+00	 3.2697e-01	
 1.6744e+00	 3.2784e-01	
 1.7016e+00	 3.2852e-01	
 1.6881e+00	 3.2764e-01	
 1.6721e+00	 3.2745e-01	
 1.6790e+00	 3.2708e-01	
 1.6722e+00	 3.2591e-01	
 1.6746e+00	 3.2582e-01	
 1.6736e+00	 3.2591e-01	
 1.6963e+00	 3.2664e-01	
 1.6833e+00	 3.2688e-01	
 1.6514e+00	 3.2674e-01	
 1.6829e+00	 3.2715e-01	
 1.6970e+00	 3.2716e-01	
 1.6712e+00	 3.2707e-01	
 1.6745e+00	 3.2653e-01	
 1.6735e+00	 3.2727e-01	
 1.6637e+00	 3.2590e-01	
 1.6672e+00	 3.2749e-01	
 1.7081e+00	 3.2555e-01	
 1.6681e+00	 3.2774e-01	
 1.6630e+00	 3.2679e-01	
 1.6815e+00	 3.2533e-01	
 1.6633e+00	 3.2613e-01	
 1.6881e+00	 3.2578e-01	
 1.6822e+00	 3.2577e-01	
 1.6598e+00	 3.2545e-01	
 1.6847e+00	 3.2616e-01	
 1.6856e+00	 3.2629e-01	
 1.6804e+00	 3.2544e-01	
 1.6534e+00	 3.2540e-01	
 1.6525e+00	 3.2527e-01	
 1.6640e+00	 3.2548e-01	
 1.6716e+00	 3.2388e-01	
 1.6619e+00	 3.2440e-01	
 1.6734e+00	 3.2383e-01	
 1.6773e+00	 3.2444e-01	
 1.6885e+00	 3.2512e-01	
 1.6322e+00	 3.2503e-01	
 1.6551e+00	 3.2520e-01	
 1.6546e+00	 3.2533e-01	
 1.6247e+00	 3.2646e-01	
 1.6906e+00	 3.2709e-01	
 1.6397e+00	 3.2673e-01	
 1.6597e+00	 3.2619e-01	
 1.6377e+00	 3.2602e-01	
 1.6744e+00	 3.2694e-01	
 1.6295e+00	 3.2585e-01	
 1.6535e+00	 3.2609e-01	
 1.7083e+00	 3.2574e-01	
 1.6271e+00	 3.2596e-01	
 1.6599e+00	 3.2581e-01	
 1.6256e+00	 3.2502e-01	
 1.6142e+00	 3.2438e-01	
 1.6197e+00	 3.2546e-01	
 1.5970e+00	 3.2330e-01	
 1.5859e+00	 3.2366e-01	
 1.5826e+00	 3.2438e-01	
 1.5816e+00	 3.2514e-01	
 1.6234e+00	 3.2407e-01	
 1.6515e+00	 3.2398e-01	
 1.6611e+00	 3.2415e-01	
 1.6308e+00	 3.2445e-01	
 1.6187e+00	 3.2329e-01	
 1.6151e+00	 3.2275e-01	
 1.6378e+00	 3.2455e-01	
 1.5988e+00	 3.2399e-01	
 1.6378e+00	 3.2448e-01	
 1.6393e+00	 3.2406e-01	
 1.6148e+00	 3.2381e-01	
 1.5596e+00	 3.2333e-01	
 1.6008e+00	 3.2399e-01	
 1.6052e+00	 3.2435e-01	
 1.5780e+00	 3.2389e-01	
 1.5914e+00	 3.2302e-01	
 1.5560e+00	 3.2385e-01	
 1.5642e+00	 3.2449e-01	
 1.5151e+00	 3.2368e-01	
 1.5289e+00	 3.2291e-01	
 1.5236e+00	 3.2419e-01	
 1.5586e+00	 3.2464e-01	
 1.5446e+00	 3.2437e-01	
 1.5235e+00	 3.2430e-01	
 1.5105e+00	 3.2308e-01	
 1.5389e+00	 3.2323e-01	
 1.5152e+00	 3.2298e-01	
 1.5056e+00	 3.2211e-01	
 1.5034e+00	 3.2224e-01	
 1.5143e+00	 3.2013e-01	
