Hiber_loss	LSTM_Loss	
 2.3425e+00	 7.0671e-01	
 2.3322e+00	 7.0493e-01	
 2.3223e+00	 7.0236e-01	
 2.3134e+00	 7.0044e-01	
 2.3027e+00	 6.9832e-01	
 2.2934e+00	 6.9613e-01	
 2.2836e+00	 6.9553e-01	
 2.2733e+00	 6.9377e-01	
 2.2631e+00	 6.9122e-01	
 2.2541e+00	 6.8924e-01	
 2.2440e+00	 6.8890e-01	
 2.2322e+00	 6.8644e-01	
 2.2241e+00	 6.8455e-01	
 2.2118e+00	 6.8204e-01	
 2.2023e+00	 6.7952e-01	
 2.1939e+00	 6.7764e-01	
 2.1824e+00	 6.7462e-01	
 2.1718e+00	 6.7240e-01	
 2.1615e+00	 6.6926e-01	
 2.1485e+00	 6.7284e-01	
 2.1391e+00	 6.7043e-01	
 2.1282e+00	 6.6759e-01	
